2025-04-23 16:40:30 | CPU: 100% | MEM: 19.43% | DISK: 12%
2025-04-23 16:40:31 | CPU: 1.6% | MEM: 19.43% | DISK: 12%
2025-04-23 16:40:32 | CPU: 1.6% | MEM: 19.43% | DISK: 12%
2025-04-23 16:40:33 | CPU: 1.6% | MEM: 19.43% | DISK: 12%
2025-04-23 16:40:35 | CPU: 1.6% | MEM: 19.41% | DISK: 12%
2025-04-23 16:40:36 | CPU: 3.2% | MEM: 19.41% | DISK: 12%
2025-04-23 16:40:37 | CPU: 3.1% | MEM: 19.41% | DISK: 12%
2025-04-23 16:40:38 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:39 | CPU: 1.6% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:40 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:42 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:43 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:44 | CPU: 1.6% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:45 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:46 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:47 | CPU: 100% | MEM: 19.44% | DISK: 12%
2025-04-23 16:40:49 | CPU: 100% | MEM: 19.44% | DISK: 12%
2025-04-23 16:40:50 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:40:51 | CPU: 1.6% | MEM: 19.45% | DISK: 12%
2025-04-23 16:40:52 | CPU: 1.6% | MEM: 19.45% | DISK: 12%
2025-04-23 16:40:53 | CPU: 100% | MEM: 19.45% | DISK: 12%
2025-04-23 16:40:54 | CPU: 1.6% | MEM: 19.45% | DISK: 12%
2025-04-23 16:40:56 | CPU: 1.6% | MEM: 19.45% | DISK: 12%
2025-04-23 16:40:57 | CPU: 1.6% | MEM: 19.45% | DISK: 12%
2025-04-23 16:40:58 | CPU: 100% | MEM: 19.45% | DISK: 12%
2025-04-23 16:40:59 | CPU: 1.6% | MEM: 19.45% | DISK: 12%
2025-04-23 16:41:00 | CPU: 1.6% | MEM: 19.45% | DISK: 12%
2025-04-23 16:41:01 | CPU: 100% | MEM: 19.01% | DISK: 12%
2025-04-23 16:41:03 | CPU: 100% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:04 | CPU: 100% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:05 | CPU: 100% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:06 | CPU: 100% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:07 | CPU: 1.6% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:08 | CPU: 1.6% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:10 | CPU: 1.6% | MEM: 18.84% | DISK: 12%
2025-04-23 16:41:11 | CPU: 1.6% | MEM: 18.84% | DISK: 12%
2025-04-23 16:41:12 | CPU: 100% | MEM: 18.84% | DISK: 12%
2025-04-23 16:41:13 | CPU: 1.6% | MEM: 18.84% | DISK: 12%
2025-04-23 16:41:14 | CPU: 100% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:15 | CPU: 4.7% | MEM: 18.83% | DISK: 12%
2025-04-23 16:41:17 | CPU: 1.6% | MEM: 18.84% | DISK: 12%
2025-04-23 16:41:18 | CPU: 3.1% | MEM: 18.84% | DISK: 12%
2025-04-23 16:41:19 | CPU: 100% | MEM: 19.18% | DISK: 12%
2025-04-23 16:41:20 | CPU: 1.6% | MEM: 19.18% | DISK: 12%
2025-04-23 16:41:21 | CPU: 100% | MEM: 19.18% | DISK: 12%
2025-04-23 16:41:22 | CPU: 1.6% | MEM: 19.18% | DISK: 12%
2025-04-23 16:41:24 | CPU: 100% | MEM: 19.18% | DISK: 12%
2025-04-23 16:41:25 | CPU: 3.2% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:26 | CPU: 1.6% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:27 | CPU: 3.2% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:28 | CPU: 100% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:29 | CPU: 1.6% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:31 | CPU: 1.6% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:32 | CPU: 100% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:33 | CPU: 1.6% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:34 | CPU: 1.6% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:35 | CPU: 3.1% | MEM: 19.17% | DISK: 12%
2025-04-23 16:41:36 | CPU: 100% | MEM: 19.19% | DISK: 12%
2025-04-23 16:41:38 | CPU: 1.6% | MEM: 19.19% | DISK: 12%
2025-04-23 16:41:39 | CPU: 1.6% | MEM: 19.19% | DISK: 12%
2025-04-23 16:41:40 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:41 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:42 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:43 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:45 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:46 | CPU: 3.2% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:47 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:48 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:49 | CPU: 3.2% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:51 | CPU: 3.2% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:52 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:53 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:54 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:55 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:56 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:58 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:41:59 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:00 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:01 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:02 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:03 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:05 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:06 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:07 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:08 | CPU: 3.1% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:09 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:10 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:12 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:13 | CPU: 100% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:14 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:15 | CPU: 1.6% | MEM: 19.21% | DISK: 12%
2025-04-23 16:42:16 | CPU: 3.2% | MEM: 18.87% | DISK: 12%
2025-04-23 16:42:17 | CPU: 1.6% | MEM: 18.87% | DISK: 12%
2025-04-23 16:42:19 | CPU: 1.6% | MEM: 18.87% | DISK: 12%
2025-04-23 16:42:20 | CPU: 100% | MEM: 18.87% | DISK: 12%
2025-04-23 16:42:21 | CPU: 1.6% | MEM: 18.87% | DISK: 12%
2025-04-23 16:42:22 | CPU: 100% | MEM: 18.87% | DISK: 12%
2025-04-23 16:42:23 | CPU: 3.2% | MEM: 19.28% | DISK: 12%
2025-04-23 16:42:24 | CPU: 1.6% | MEM: 19.28% | DISK: 12%
2025-04-23 16:42:26 | CPU: 1.6% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:27 | CPU: 3.2% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:28 | CPU: 1.6% | MEM: 17.91% | DISK: 12%
2025-04-23 16:42:29 | CPU: 3.2% | MEM: 17.91% | DISK: 12%
2025-04-23 16:42:30 | CPU: 8.1% | MEM: 18.79% | DISK: 12%
2025-04-23 16:42:31 | CPU: 100% | MEM: 18.79% | DISK: 12%
2025-04-23 16:42:33 | CPU: 100% | MEM: 18.18% | DISK: 12%
2025-04-23 16:42:34 | CPU: 1.6% | MEM: 18.14% | DISK: 12%
2025-04-23 16:42:35 | CPU: 1.6% | MEM: 18.11% | DISK: 12%
2025-04-23 16:42:36 | CPU: 1.6% | MEM: 18.03% | DISK: 12%
2025-04-23 16:42:37 | CPU: 1.6% | MEM: 18.01% | DISK: 12%
2025-04-23 16:42:38 | CPU: 1.6% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:40 | CPU: 100% | MEM: 17.99% | DISK: 12%
2025-04-23 16:42:41 | CPU: 100% | MEM: 17.99% | DISK: 12%
2025-04-23 16:42:42 | CPU: 100% | MEM: 17.99% | DISK: 12%
2025-04-23 16:42:43 | CPU: 1.6% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:44 | CPU: 1.6% | MEM: 17.99% | DISK: 12%
2025-04-23 16:42:45 | CPU: 1.6% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:47 | CPU: 1.6% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:48 | CPU: 100% | MEM: 17.99% | DISK: 12%
2025-04-23 16:42:49 | CPU: 100% | MEM: 17.99% | DISK: 12%
2025-04-23 16:42:50 | CPU: 100% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:51 | CPU: 100% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:52 | CPU: 100% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:54 | CPU: 100% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:55 | CPU: 1.6% | MEM: 18.00% | DISK: 12%
2025-04-23 16:42:56 | CPU: 100% | MEM: 18.39% | DISK: 12%
2025-04-23 16:42:57 | CPU: 1.6% | MEM: 18.39% | DISK: 12%
2025-04-23 16:42:58 | CPU: 1.6% | MEM: 18.35% | DISK: 12%
2025-04-23 16:42:59 | CPU: 1.6% | MEM: 18.35% | DISK: 12%
2025-04-23 16:43:01 | CPU: 1.6% | MEM: 18.35% | DISK: 12%
2025-04-23 16:43:02 | CPU: 1.6% | MEM: 18.35% | DISK: 12%
2025-04-23 16:43:03 | CPU: 100% | MEM: 18.35% | DISK: 12%
2025-04-23 16:43:04 | CPU: 100% | MEM: 18.36% | DISK: 12%
